iter	Passed	Remaining
985	13910	197
986	13925	183
987	13940	169
988	13954	155
989	13969	141
990	13984	127
991	13999	112
992	14013	98
993	14026	84
994	14037	70
995	14049	56
996	14065	42
997	14077	28
998	14088	14
999	14100	0
